investment_amount,opportunity_code,Category,investor_acc_number,investment_number,investment_interest_rate,daily_interest
250000.0,HVO105,Heron View,ZHUT01,8,0.16,109.58904109589041
311181.51,HVL203,Heron View,ZHUT01,9,0.16,136.40833315068494
369059.18,HVK302,Heron View,ZBEL01,5,0.16,161.77936657534246
250000.0,HVG204,Heron View,ZBEL01,7,0.18,123.28767123287672
351000.0,HVI102,Heron View,ZBEL01,6,0.18,173.0958904109589
318218.08,GW4849,Goodwood,ZBEL01,8,0.18,156.92946410958905
780885.27,HVF102,Heron View,ZFON01,5,0.16,342.3058717808219
130133.7,HVK206,Heron View,ZCOL01,4,0.14,49.91429589041096
630284.25,HVD302,Heron View,ZKRU01,5,0.18,310.82510958904106
819398.7,HVO203,Heron View,ZKRU01,7,0.18,404.08703013698624
240082.19,GW4429,Goodwood,ZKRU01,8,0.18,118.39669643835616
350000.0,GW4604,Goodwood,ZKRU01,9,0.18,172.6027397260274
250000.0,HVK301,Heron View,ZDAV01,5,0.16,109.58904109589041
250000.0,GW4849,Goodwood,ZDAV01,6,0.16,109.58904109589041
150000.0,HVK303,Heron View,ZHUN01,4,0.14,57.53424657534248
423120.71,HVK103,Heron View,ZDAM01,3,0.14,162.29287506849317
400000.0,HVK302,Heron View,ZLEW01,9,0.18,197.26027397260273
1108630.14,HVO104,Heron View,ZLEW01,10,0.18,546.7217128767122
550000.0,GW4418,Goodwood,ZLEW01,11,0.18,271.2328767123288
250000.0,GW4429,Goodwood,ZLEW01,12,0.18,123.28767123287672
258587.14,HVO202,Heron View,ZHEI01,11,0.18,127.52242520547945
984516.0,HVL204,Heron View,ZHEI01,12,0.18,485.5147397260274
256652.05,HVO201,Heron View,ZMAT01,6,0.14,98.44188219178083
228382.03,GW3847,Goodwood,ZMAT01,7,0.14,87.59858684931507
1100000.0,HVI204,Heron View,ZMYB01,2,0.18,542.4657534246576
1100000.0,HVL101,Heron View,ZMYB01,3,0.18,542.4657534246576
700000.0,HVL102,Heron View,ZMYB01,4,0.18,345.2054794520548
1100000.0,HVL104,Heron View,ZMYB01,5,0.18,542.4657534246576
1200000.0,HVE301,Heron View,ZMYB01,9,0.18,591.7808219178082
1200000.0,HVE304,Heron View,ZMYB01,10,0.18,591.7808219178082
1200000.0,HVE104,Heron View,ZMYB01,6,0.18,591.7808219178082
1200000.0,HVE202,Heron View,ZMYB01,7,0.18,591.7808219178082
1200000.0,HVE204,Heron View,ZMYB01,8,0.18,591.7808219178082
100000.0,HVK403,Heron View,ZMCK01,4,0.18,49.31506849315068
1100000.0,HVK404,Heron View,ZMCK01,5,0.18,542.4657534246576
150000.0,HVK403,Heron View,ZLUN01,7,0.18,73.97260273972603
100000.0,HVK104,Heron View,ZINT01,10,0.18,49.31506849315068
100000.0,HVK303,Heron View,ZINT01,11,0.18,49.31506849315068
100000.0,HVK403,Heron View,ZINT01,12,0.18,49.31506849315068
100000.0,HVC202,Heron View,ZINT01,14,0.18,49.31506849315068
100000.0,HVO101,Heron View,ZINT01,13,0.18,49.31506849315068
100000.0,HVK101,Heron View,ZINT01,16,0.18,49.31506849315068
106997.26,HVL204,Heron View,ZINT01,17,0.18,52.76577205479452
100000.0,HVL201,Heron View,ZINT01,18,0.18,49.31506849315068
450000.0,HVK304,Heron View,ZMCD01,7,0.14,172.6027397260274
642671.4,HVJ102,Heron View,ZSCH01,14,0.18,316.9338410958904
400000.0,HVN304,Heron View,ZSCH01,15,0.18,197.26027397260273
806083.85,HVK305,Heron View,ZSCH01,16,0.18,397.52080273972604
146383.1,HVD202,Heron View,ZWEL01,3,0.16,64.16793424657534
353616.9,HVD302,Heron View,ZWEL01,4,0.16,155.0101479452055
90419.06,HVK203,Heron View,ZSPE01,4,0.14,34.681283287671235
435021.99,HVO101,Heron View,ZWAT01,13,0.18,214.5313923287671
920898.91,HVF101,Heron View,ZWAT01,14,0.18,454.14192821917806
100000.0,HVN304,Heron View,ZVDM01,4,0.14,38.35616438356165
65218.15,HVK202,Heron View,ZVDM01,5,0.14,25.015180821917813
100000.0,HVI103,Heron View,ZVDM01,6,0.14,38.35616438356165
1000500.0,HVK205,Heron View,ZVDW01,2,0.18,493.3972602739726
300000.0,GW3657,Goodwood,ZVDW01,3,0.18,147.94520547945206
288241.52,HVD202,Heron View,ZSON01,12,0.18,142.14650301369863
1100000.0,HVP203,Heron View,ZSON01,13,0.18,542.4657534246576
183821.92,GW3412,Goodwood,ZSON01,14,0.18,90.65190575342466
550000.0,GW4158,Goodwood,ZSON01,15,0.18,271.2328767123288
550000.0,GW4643,Goodwood,ZSON01,16,0.18,271.2328767123288
238516.44,HVO101,Heron View,ZVOR01,5,0.14,91.48575780821919
117422.6,HVG104,Heron View,ZVOR01,6,0.18,57.90703561643836
100000.0,HVK302,Heron View,ZMAR01,3,0.14,38.35616438356165
1000000.0,HVN102,Heron View,ZZYL01,5,0.18,493.1506849315069
275583.65,HVC204,Heron View,ZKUS02,3,0.14,105.70331780821921
100000.0,HVJ102,Heron View,ZMCD02,3,0.14,38.35616438356165
700000.0,HVI201,Heron View,ZESP01,2,0.16,306.8493150684931
600000.0,GW4594,Goodwood,ZESP01,3,0.18,295.8904109589041
100000.0,HVJ103,Heron View,ZJER01,3,0.14,38.35616438356165
170404.1,GW3927,Goodwood,ZKUS01,4,0.14,65.36047671232878
164674.38,HVJ102,Heron View,ZKUS03,3,0.14,63.16277589041097
100000.0,HVL201,Heron View,ZKUS03,5,0.14,38.35616438356165
126369.86,HVD202,Heron View,ZHAR01,2,0.14,48.47063123287672
139986.32,HVL203,Heron View,ZROD01,3,0.14,53.69338301369864
117916.44,HVK405,Heron View,ZVER02,5,0.14,45.228223561643844
139300.72,HVG303,Heron View,ZVER02,6,0.14,53.43041315068494
115294.52,HVE101,Heron View,ZVER02,7,0.14,44.22255561643836
