Category,opportunity_code,opportunity_end_date,opportunity_final_transfer_date,opportunity_sold
Endulini,EA101,2022-10-24,2022-10-24,True
Endulini,EA102,2022-10-17,2022-10-17,True
Endulini,EA103,2022-11-04,2022-11-04,True
Endulini,EA104,2023-02-03,2023-02-03,True
Endulini,EA105,2022-09-27,2022-09-27,True
Endulini,EA106,2022-09-26,2022-09-26,True
Endulini,EA107,2024-06-20,,False
Endulini,EA108,2022-09-26,2022-09-26,True
Endulini,EA109,2022-10-11,2022-10-11,True
Endulini,EA201,2024-07-17,,False
Endulini,EA202,2023-12-12,2023/12/12,True
Endulini,EA203,2022-10-04,2022-10-04,True
Endulini,EA204,2023-12-14,2023/12/14,True
Endulini,EA205,2024-06-28,,False
Endulini,EA206,2024-06-28,,False
Endulini,EA207,2024-06-13,,False
Endulini,EA208,2022-11-15,2022-11-15,True
Endulini,EA209,2023-11-29,2023/11/29,True
Endulini,EA301,2022-10-21,2022-10-21,True
Endulini,EA302,2024-06-28,,False
Endulini,EA303,2023-06-02,2023-06-02,True
Endulini,EA304,2023-12-04,2023/12/04,True
Endulini,EA305,2024-06-13,,False
Endulini,EA306,2023-12-15,2023/12/19,True
Endulini,EA307,2023-06-12,2023-06-12,True
Endulini,EB101,2023-12-15,2023/12/21,True
Endulini,EB102,2024-06-28,,False
Endulini,EB103,2022-09-28,2022-09-28,True
Endulini,EB201,2024-06-28,,False
Endulini,EB202,2024-06-28,,False
Endulini,EB203,2023-12-05,2023/12/05,True
Endulini,EC101,2022-10-03,2022-10-03,True
Endulini,EC102,2022-10-07,2022-10-07,True
Endulini,EC201,2022-10-14,2022-10-14,True
Endulini,EC202,2023-11-02,2023/11/02,True
Endulini,EC301,2023-11-29,2023/11/29,True
Endulini,EC302,2023-11-10,2023/11/10,True
Endulini,ED101,2022-04-06,2022-04-06,True
Endulini,ED102,2022-05-06,2022-05-06,True
Endulini,ED103,2022-08-08,2022-08-08,True
Endulini,ED201,2022-04-06,2022-04-06,True
Endulini,ED202,2022-05-20,2022-05-20,True
Endulini,ED203,2024-04-12,,False
Endulini,ED301,2022-05-30,2022-05-30,True
Endulini,ED302,2022-06-20,2022-06-20,True
Endulini,ED303,2022-05-23,2022-05-23,True
Endulini,EE101,2022-04-06,2022-04-06,True
Endulini,EE102,2022-04-06,2022-04-06,True
Endulini,EE103,2022-05-06,2022-05-06,True
Endulini,EE201,2022-05-06,2022-05-06,True
Endulini,EE202,2022-05-09,2022-05-09,True
Endulini,EE203,2022-05-20,2022-05-20,True
Endulini,EE301,2022-05-04,2022-05-04,True
Endulini,EE302,2022-05-19,2022-05-19,True
Endulini,EE303,2022-05-09,2022-05-09,True
Endulini,EF101,2022-04-06,2022-04-06,True
Endulini,EF102,2022-04-06,2022-04-06,True
