investor_acc_number,Category,opportunity_code,investment_amount,release_date,end_date,investment_interest_rate
ZWES01,Endulini,EA101,500000.0,2021/08/03,2022/10/24,18.0
ZJEN01,Endulini,EA101,100000.0,2021/08/03,2022/10/24,15.0
ZNAG01,Endulini,EA101,200000.0,2021/10/08,2022/10/24,15.0
ZRIT01,Endulini,EA101,200000.0,2021/12/03,2022/10/24,18.0
ZWIL01,Endulini,EA102,100000.0,2021/08/03,2022/10/17,15.0
ZGIL02,Endulini,EA102,100000.0,2021/09/11,2022/10/17,15.0
ZERA01,Endulini,EA102,200000.0,2021/10/08,2022/10/17,18.0
ZSTO01,Endulini,EA102,200000.0,2021/09/24,2022/10/17,15.0
ZHAU01,Endulini,EA102,300000.0,2021/10/08,2022/10/17,15.0
ZBRO02,Endulini,EA102,100000.0,2021/12/03,2022/10/17,14.0
ZLOU02,Endulini,EA103,500000.0,2021/08/03,2022/11/04,18.0
ZVOL01,Endulini,EA103,500000.0,2021/08/03,2022/10/17,18.0
ZVOL01,Endulini,EA103,311777.39,2022/10/19,2022/11/04,14.0
ZPRO01,Endulini,EA104,1000000.0,2021/08/03,2023/02/03,18.0
ZPRO01,Endulini,EA105,1000000.0,2021/08/03,2022/09/27,18.0
ZLEW01,Endulini,EA106,750000.0,2021/10/22,2022/09/26,18.0
ZDEC01,Endulini,EA106,250000.0,2021/10/22,2022/09/26,15.0
ZTPI01,Endulini,EA107,250000.0,2021/11/04,2023/09/07,15.0
ZSCO01,Endulini,EA107,250000.0,2021/10/22,2023/09/07,15.0
ZVIS01,Endulini,EA107,300000.0,2021/10/22,2023/09/07,18.0
ZVIS01,Endulini,EA107,200000.0,2021/10/22,2023/09/07,18.0
ZMOR02,Endulini,EA107,950000.0,2023/09/15,,10.0
ZKRI02,Endulini,EA108,1000000.0,2021/09/24,2022/09/26,18.0
ZALM01,Endulini,EA109,100000.0,2021/08/03,2022/10/11,18.0
ZKEW01,Endulini,EA109,100000.0,2021/09/24,2022/10/11,15.0
ZDEM01,Endulini,EA109,100000.0,2021/08/03,2022/10/11,15.0
ZNEE01,Endulini,EA109,500000.0,2021/10/22,2022/10/11,18.0
ZRAB02,Endulini,EA109,200000.0,2021/10/22,2022/10/11,15.0
ZSCH03,Endulini,EA201,500000.0,2021/11/04,2023/09/14,18.0
ZELO01,Endulini,EA201,500000.0,2021/09/24,2023/08/28,18.0
ZSLE01,Endulini,EA202,180000.0,2021/11/04,2023/11/13,15.0
ZKRI03,Endulini,EA202,800000.0,2021/10/08,2023/04/04,18.0
ZAFR01,Endulini,EA203,246017.81,2022/05/19,2022/10/04,18.0
ZCUP01,Endulini,EA203,200000.0,2021/11/04,2022/10/04,15.0
ZDEH01,Endulini,EA203,200000.0,2021/11/18,2022/10/04,15.0
ZNUN01,Endulini,EA203,250000.0,2021/12/20,2022/10/04,18.0
ZTRU01,Endulini,EA203,100000.0,2022/04/29,2022/10/04,14.0
ZDEK01,Endulini,EA204,300000.0,2021/11/04,2023/09/14,18.0
ZMOO02,Endulini,EA204,500000.0,2021/11/18,2022/12/09,18.0
ZRIT01,Endulini,EA204,200000.0,2021/12/03,2022/12/09,18.0
ZATK01,Endulini,EA205,340000.0,2023/05/05,2023/08/28,14.0
ZERA01,Endulini,EA205,300000.0,2021/12/03,2023/04/26,18.0
ZMOO02,Endulini,EA205,500000.0,2021/12/20,2023/09/14,18.0
